month,revenue_stream,revenue,transaction_count
2025-01-01,Amazon,28943.83,6
2025-01-01,Shopify,1210.54,14
2025-01-01,Affiliate,31073.20,7
2025-01-01,Wholesale,4661.56,8
2025-02-01,Amazon,41654.25,6
2025-02-01,Shopify,1606.37,19
2025-02-01,Affiliate,51190.31,10
2025-02-01,Wholesale,4623.00,5
2025-03-01,Amazon,22951.09,4
2025-03-01,Shopify,618.16,8
2025-03-01,Affiliate,34237.53,9
2025-03-01,Wholesale,4700.49,4
